abase:[직분, 평가 따위]를 떨어뜨리다, 격하하다
abet:...을 부추기다, 선동하다
careen:갑자기 방향을 바구다;[차가 급커브에서] 기울다;[배를]기울여서 청소(수리)하다
cartography:지도 제작[법], 제도[법]
cascade:작은 폭포, 폭포처럼 생긴 것
cataclysm:격동, 대변동, 지각의 격변, 대홍수
caucus:정당의 지방대화, 간부회의, 위원회
cavalier:교만한,건방진; 태평한; 말탄 무사(knight)
cavil:트집잡다, 쓸데없이 흠잡다
chaff:쓸모 없는 것, 잡동사니
chameleon:변덕스러운, 바람기가 있는 사람
champion:[앞장서서]...을 옹호하다
channel:경로, 통로; 수로, 해협
chaste:[육체적으로]순진한, 더럽혀지지 않은; 우아한,순수한
cherub:예쁘고 순진한 어린이; 천사의 한 종류
chortle:혼자서 킬킬거리다, 신이 나서 웃다, 기뻐하다
churl:농부, 시골뜨기; 성미 까다로운 사람, 구두쇠, boor
chutzpah:뻔뻔스러운, blatant
cipher:0(영), 가치 없는 것; 암호, 부호
curcumnavigate:...을 두루 항해하다, [특히]세계를 배로 일주하다
citadel:성채, 요새, 견고한 장소
clandestine:비밀의, 내밀의, 남 몰래하는, arcane
classic:일류의, 초 고급의, 우수한; 표준의, 모범적인
cleave:...을 쪼개다, 찢다; ...을 밀어 해치고 나가다; 달라붙다, 집착하다, rent
climatic:기후[상]의, 풍토의
cloister:보행 복도, 안뜰, 수도원, 수도 새활, 조용한 외딴곳
clone:똑같이 복제; 무성생식 증가; 복제(복사)
clout:손바닥으로 때리기, 영향력, [표적에]적중, 명중
cloy:싫증나다, 물리다
coddle:...을 상냥하게 다루다, 응석받이로 기르다; 응석받이, 허약하게 자란 사람
cogitate:심사 숙고하다, ...을 고안하다;...을 궁리/계획하다, ruminate, deliberate
cohort:한 패, 동료, 동아리; 군대, 그룹, 대
commemorate:[물건이]...의 기념이 되다, ...을 기념/축하하다
commiserate:...을 가엾게(딱하게) 여기다, 애처로워하다, ...에게 동정하다
commodious:넓은, 널찍한, 넓고 편리한
compatible:조화되는, 조화하는, 적합한, 모순없는
competent:유능한, 상당한, 충분한 자격이 있는
compile:하나로 종합하다, 집계하다
comply:따르다, 동의하다, 승낙하다
composed:침착한, 평온한, 편안한
compromise:타협, 양보, 화해, 절충(안)
compunction:양심의 가책, 마음의 거리낌; 뉘우침; [가벼운] 후회
concave:오목한, 요면의; 움푹 들어간 곳
concede:...을 인정하다, ...을 [권리, 특권으로서] 용인하다, 허용하다, avow, accede=agree
concentric:[원, 구가]동일한 중심을 가진
concert:제휴, 협력, 협약, 협조, 조화, 일치; 콘서트
concoct:...을 뒤섞어서 만들다,조합하다, 조제하다, 꾸며내다; 꾀하다
concomitant:수반하다, 복수하는, 상반하는; 부수하는 성질(사정), 부수물
confederate:동맹자(국), 연합자(국), 공모자; 연합한, 동맹한; 동맹/연합하다
confer:수여하다, 주다, 의논(상의)하다, 회담하다
confidant:[비밀 등을 털어놓을 수 있는] 믿을 만한(극친한) 친구
configuration:[요소, 부분의] 사관 위치, 배열, 배치, 외형
conflagration:큰 화재
confluence:[하천 다우의]합류, 합류점; [사람, 사물의]모임, 집합, 군중
confound:당황케하다, 놀라다, 혼동하다, ...을 뒤섞다, confused
congeal:...을 얼리다, 응고시키다
conjugal:부부[간]의, 혼인[상]의
connive:보고도 못 본체하다, 묵인(묵허)하다; 공모하다, 묵계하다
conservatory:온실, 식물실; 미술학교, 음악학교; 보존성의, 보존력이 잇는
consign:...을 넘겨주다, 인도하다; 위탁/위임하다; 할당하다; ...을 제쳐놓다
consolidate:합병/통합하다; 강화하다, 굳건히 하다
conscpicuous:잘 보이다, 이채로운, 돋보이는
consternation:대단한 놀람, 경악
constituency:선거민, 투표자, 선거구; 지지자층, 고객층; constitute-구성하다
contempt:경멸, 멸시, 모욕, 치욕
continuum:연속, 연속체
contraband:밀수품; 밀수, 밀무역; 부정거래품, 금제품
contretemps:뜻하지 않게(공교롭게) 일어난 사건, contingent
contumely:[말, 태도의]오만함, 모욕(적인 취급)
conundrum:[익살스러운 말장난으로 대답하는]수수께끼; 난문, 수수께끼 인물
convene:집합하다, 회홥하다; ...을 모으다, 소집하다, gather
conversant:친밀한, 친교가 있는; 정통한, 잘 알고 있는
converse:거꾸로 된, 역, 반대의; 격이 없이 주고받는 말, 대화
convey:운송하다, 수송하다, 전달하다, 알리다, [법률]양도하다
conviction:신념, 확신, 유죄의 판결(평가)
convolution:나선, 회선의 것
copious:많은, 다량의, 풍부한
cordial:다뜻한, 우정어린, 인정잇는; 기운을 돋구는, 충심의, 성심성의, loyalty
corollary:[당연한] 결고, 추론
corporeal:육체의, 물질적인, 유형의, 실체가 있는, substentive
correlation:상호(상관)관계
corrosive:부식[침식]성의, 부식하는; [정신적으로] 좀 먹는
corrugated:물결 모양의, 주름이 있는, 골진
coterie:동료, 친구, 동인, 서클; 그룹, 일파
cower:[공포, 부그러움 때문에] 위축하다
crass:우둔한, 어리석은, 터무니없는, dull
craven:겁많은, 소심한; 비열한, 비겁한
crescendo:힘, 음량이 점점 강해짐, [음악]점점 세게
crestfallen:풀이 죽은, 의기소침한
crevice:[좁고 깊은] 갈라진 틈
cringe:[공포로 인하여] 움츠리다, 위축되다, 굽실굽실하다, 아첨하다
critique:비평[문], 평론[문], 비평법, 비평술
cruz:가장 중요한 점, 난점
cuisine:요리법, 요리, culinary
cull:고르다, 선택/선발하다
curb:...을 구속하다, 억제하다; 구속, 억제; [말의]고삐, 재갈
curmudgeon:심술궂은 구두쇠
cursory:서두르는, 대강의, 되는 대로의
debase:[품질, 가치를]떨어뜨리다; 천하게 하다
debunk:정체를 폭로하다
decree:법령, 포고, (재판소의)명령
decry:비난하다, (denounce)헐뜯다
deem:(...이라고) 생각하다
defiit:결손, 부족, 적자(↔surplus)
defile:더럽히다, 불결하게 하다, ...의 신성을 더럽히다(desecrate), =consecrate
deft:솜씨 좋은, 능숙한
defunct:1. 죽은, 고인이된(deceased); 2. 현존하지 않은, demise
degrade:1. 지위를 낮추다, 파면하다, 2. 붕괴시키다, 3. 품위를 떨어뜨리다(deteriorate)
deign:황송하게 ~을 해주시다, condescend
deity:신위, 신격, 신성
dejected:낙담하다, 풀죽다
delectable:즐거운, 유쾌한; deleterous-해로운,유독한
delinquent:태만한, 비행의, 체납되어 있는, lazy, guilty
delve:탐구하다, 파고들다
demeanor:행동, 행실, 품행, behavior
demise:서거, 별세, defunct
demography:인구 통계학
demur:이의를 말하다, 반대하다
demure:새침한, 진지한, 침착한
denomination:계급, 종류, 명명, 명칭
denote:표시하다
denounce:비난하다, 고발하다
depict:그리다, 묘사핟,서술하다
deplete:비우다, 고갈시키다
deplore:비탄하다(lamnet), 개탄하다, mourn
deploy:(군사)전개하다
depose:(고관직에서)퇴위하다, (왕을) 폐하다, abdicate
depredate:약탈하다, plunder
derelict:1. 유기된, 버려진, 2. 무책임한
desist:그만두다, 단념하다, renounce
devout:독실한, 헌신적인, devote
diatribe:통렬한 비난을 담은 연설; 욕, 비방(invective)
dichotomy:이분법, 양분법
diffuse:발산하다
dilapidated:헐어 빠지게 하다, 황폐케 하다, devastate
dilate:넓히다, 팽창시키다
dilemma:진퇴양난
diminution:감소, 축소, diminish
dire:무시무시한, 무서운; 비참한; 급박한, 긴급한; 지독한
dirge:장송가
disaffect:...에게 불만을 품게 하다, ...의 호의를 잃게 하다; 배반하다, disgruntle
disarrary:혼란, 난잡, 단정치 못한 복장
disclaim:포기하다, 기권하다, 거절하다
discomfit:...의계획을 좌절시키다(frustrate); 당황케하다, confuged
disconcert:당황케하다, 쩔쩔매게 하다, confuged
discourse:강연, 강론, 논설
discrepancy:모순, 불일치
discursive:광범위한, 산만한, 종잡을 수 없는(digressive)
disgruntle:...을 언짢게 하다, ...에 불평을 품게하다, 불만스러운, disaffect
disinformation:잘못된, 정보
dismal:음산한, 오싹해지는(dreary)
dismay:당황하게 하다, 걱정시키다
dispassionate:냉정한, 공정한, indifferent
disperse:흩어지게 하다, 산란시키다
dispirit:낙심시키다, ...의 기력을 빼앗다, depressed
disposition:기질, 성질, 성벽
disproportionate:어울리지 않는, 조화되지 않는, 불균형한
disquiet:...의 안정을 어지럽히다, ...을 불안하게 하다
dissemble:[성격, 행위 등을] 숨기다, 가장하다, 위선적으로 행동하다
dissent:의견을 달리하다
disservice:불친절한 행위, 냉대, 구박
dissident:반대하는, 의견을 달리하는
dissuade:[충고나 설득으로](남)에게 그만두게 하다
distinct:별개의, 독특한, 확실한, 뚜렷한
diurnal:매일의, 날마다의, 낮동안의
divine:신의, 신성의; 점치다, 예언하다
divulge:[비밀을]누설하다
document:...을 증거로 입증하다
doldrums:침체기, 정체기
doleful:슬픔에 잠긴, 음울한
dolt:얼간이, 바보
dotage:망령, 노망(senility)
double entendre:이중의미
dour:기분 나쁜(forbidding), 가혹한
downcast:의기소침한, 우스꽝스러운
downplay:...을 중시하지 않다, 얕보다
draconian:(법률이)엄격한, 가혹한
droll:우스운, 우스꽝스러운
dross:[녹은 금속의]불순물, 가치 없는 것, 쓰레기, chaff
duress:구속, 감금; 협박
ebb:썰물, 감퇴; 쇠해지다, emaciate
ecclesiastical:교회의, 성직의
eclipse:[천체가]...을 가리다, ...을 숨기다, [빛]을 가로막다 →월식/일식 같은 것
ecosystem:생태계
edict:칙령, 포고, 명령(decree)
edifice:대건축물
effectual:효과적인, 충분한(adequate)
efficacy:효력, 효능
effigy:초상, 상
elation:의기양양, 매우 기뻐함, elate
electorate:유권자
elegy:애가, 만가
elite:선발된 사람들
elocution:연설 태도, 웅변술, rhiteric; elaborate-정교한,복잡한
emaciate:...을 여위게 함, 쇠약하게 하다
emanate:[빛, 소리, 사상 따위를] 발산하다, 유포하다, disperse
emancipate:...을 해방하다, 자유롭게 하다
embargo:통상 정지, 출항금지, 수출금지
embellish:...을 아름답게 하다, 장식하다(adorn)
embody:[정신]에 형체(육체)를 주다, [사상 따위를] 구체적으로 나타내다, +ethereal
embroil:[분쟁, 전쟁 따위에]...을 끌어들이다, 휩스어 넣다; 혼란시키다, 복잡하게 하다
embryonic:미발달의, 미숙의; 태아의, 태생의; 발아기의
emissary:사절, 특사; 밀사
empathy:[심리]감정이입
empower:...에게 권한을 부여하다, 권력을 위임하다
endear:...을 사랑받게 하다, 따르게 하다, 사모하게 하다
engaging:매력적인, 애교있는, 상냥한, 기분좋은
enmity:적의, 앙심, 증오, 적대, animity
ennui:지루함, 권태(boredom)
ensue:계속되다, 잇따라 일어나다; [결과로서] 생기다, 일어나다
entail:[필연적인 결과로서]...을 일으키다, 수반하다;...을 필요로 하다
entity:실재, 존재; 본질, 실질; 실재물
entreat:[남]에게 간청하다, 탄원하다, 부탁하다, 빌다
entrepreneur:청부업자, [일반적으로]기업가; 흥행주
enumerate:...을 열거하다, 늘어놓다; ...의 수를 확인하다, ...을 세다
envision:[장래의 일 따위]를 마음속에 그리다, ...을 상상하다
epicure:식도락가, 미식가; 쾌락주의자, culinary
epilogue:끝맺음[말] → 에필로그
epoch:[획일적인]시대, 획기적인 사건; 신기운(시간상에서 구분되는 시기)
equestrian:말에 올라탄, 마상의; 기수의, 마(馬)술의
estimable:존중(존경)할 만한, 존중(존경)받을 만한; 평가할 수 있는
estrange:[남]의 기분, 애정을 멀어지게 하다, [남]의 사이를 가르다, ...을 멀리하다
ethics:윤리, 도덕; 윤리학, 도덕론, 윤리
eulogy:찬사, 찬양(칭찬)하는 말; 고인을 기리는 연설
evince:[감정 따위를] 분명히 나타내다, 명시하다; ...을 증명하다; invoke-빌다
evoke:[기억 따위]를 되살려 내다, 환기하다, [웃음을] 자아내다, 이끌어내다, elicit, extract
excise:[구, 문장 따위]를 삭제하다, ...을 전개하다, 잘라내다; 물푸메, 소비세, 면허세, efface
exempt:...을 면제하다, 면제된, 면제(세)자, immune
exhume:...을 발굴하다, [특히](시체, 무덤)을 발굴하다
exodus:[많은 사람이]나가기, 출발; [이민단 따위의] 출국, 이주
exorbitant:엄청난, 터무니없는, 값이 엄청난, egregious
expiate:...을 보상하다; [죄 따위]의 갚음을 하다, amend, atone
explicate:[논지, 원리, 주의 따위]를 전개하여 명백히 하다, ...을 설명하다, 해설하다
exposition:설명, 해설; 전람회, 박람회
expostulate:타이르다, 충고하다, exhort; postulate-가정하다
expunge:...을 지우다, 말살(말소)하다, ...을 없애다; 멸종시키다, efface, excise
exquisite:매우 아름다운, 절묘한, 훌륭한, 강렬한(intense)
extant:현존(잔존)하고 있는, extand
extort:강탈하다, 착취하다; 억지로 꾸며내다; [자백을]억지로 얻어내다
extremity:끝, 선단, 맨끝; 절정, 곤경, 난국; 사지(손발), extreme
exuberant:무성한, 풍부한; 다작의; 생기 가득한, 넘칠듯한; [문제, 언어가] 화려한
facade:[건물의] 정면, [사물의]외관, 겉보기
facet:[보석 등의] 자른 면, 면; [사람, 사물의] 일면, 국면; facetuous-우수운
fallacy:그릇된 생각(믿음), 잘못
fathom:[수심]을 재다(sound), [남의 마음을] 헤에리다, 추측하다
faux:false옳지 않은, 그릇된
fawn:[야비한 짓을 해가면] 알랑거리다, 아첨하다; n. 어린사슴
feign:...을 가장하다, ...인 체하다, [구실 따위]를 꾸며내다, 속이다; 가장하다, dissemble
fester:[상처 따위가] 곪다, 쑤시다, 아프다, erode, corrosive
fetish:[나무, 돌과 같은]신, 미신의 대상; 페티즘의 대상물
fiasco:대실패, 완패
fiat:법령, 명령, 엄명, 인가
fickle:변하기 쉬운, 불안정한; 변덕스러운; finichy-까다로운
figment:꾸며낸(지어낸) 일; 허구, 꾸면내 이야기
fiscal:재정(상)의, 회계의; 국고의
fledgling:풋내기, 신출내기, 애송이; 깃털이 갓난 새; fledge-담보
flippant:경솔한, 경박한; 건방진, 뻔뻔스러운
florid:혈색이 좋은, 얼굴이 붉은
fodder:[가축의] 먹이, 사료; 원재료, 원료(raw material)
folly:어리석은(짓); 경솔한(imprudence)
foray:침입, 침략; an initial venture
forebode:[보통 나쁜 일]을 미리 나타내다, 조짐을 보이다; 예언/예감하다
foreclose:저당물을 찾을 권리를 상실케하다, [저당물]을 처분하다; 내쫓다, 배척(배제)하다
forensic:법정의(에 관한), 논쟁의
forestall:...의 기선을 제하다, ...을 미리 막다
forswear:...을 맹세로 끊다, ...을 맹세로 부정하다, 지기 진술을 철회하다(recant)
forte:장점, 특기
forthright:1. 솔직하게, 숨기지 않고  2. 똑바로
foster:(성장, 발달)을 촉진하다, 증진하다
fragmentary:미완의, 단편적인
fruitful:결실이 많은, (풍작)을 가져오는, 기름진, 비옥한, 수익이 많은
fuel:1. (감정을) 부추기다  2. ...을 태우다(kindle)
fulminate:맹렬히 비난하다, 호통치다
gaffe:실패, 실수(blunder), fiasce; plunder-약탈하다, plounder-버둥대다
galvanize:...을 갑자기 활기띠게 하다, 생기를 회복시키다(revitalzie), bracing
gambit:(행동이나 거래 따위의) 시작, 선수
gamut:전 범위, 전반
garner:1. ...을 모으다   2. (득점을) 얻다
gastronomy:미식법, 요리법, culinary
generic:일반적인
genesis:기원, 발생
genocide:한 국민 또는 민족의 말살
germane:일정한 관계가 있는, 적절한(pertinet)
ghastly:무시무시한, 송장(유령) 같은
gratis:무료로, 공짜로; 무료의, gratuitous
grievous:비통한, 슬프게 하는, 슬퍼할, mourn, bemoan; aggrieve-괴롭히다, 학대하다
grimace:찡그린 얼굴, 우거지상, 점잔 뺸 얼굴, 꾸민 얼굴
guise:외관, 외양, 겉보기, 의복
habituate:...을 길들이다, 익숙하게 하다
hacyon:교묘한, 잔잔한; 부유한, 번영하는, 즐거운, 무사태평한
harass:[적]을 끊임없는 공격으로 괴롭히다, ...을 시달리게 하다
harbinger:선구자, 예고, 전조
harp:[같은 말을] 자꾸만 되풀이하다
harry:[남]을 고민하게 하다, 괴롭히다; 약탈하다, 침략하다
heinous:극악한, 흉악한, 밉살 맞은, 가증스러운
herald:[국왕의 즉위, 선전을 알리는]포교관, 선구자(harbinger)
hoary:[늙어서] 백발의, 오래된, 낡은; hoard-저장하다
homage:존경, 경의
hubris:[자신 과잉 따위에 의한] 오만, 자만, insolent
hypocrisy:위선, 위선적 행위; ...인 척하는
idiom:관용어법, [지역적, 계층적인] 방언, 사투리
imbue:1.(사상, 감정 등을)...에게 불어넣다, 고취하다,   2....에 스며들다
impasse:궁지, 난국, 막힘
impeacb:1. 비난하다, 질책하다   2. 탄핵하다
impecunious:무일푼인, 가난한
impede:...을 방해하다, 훼방놓다
inpending:박두한, 임박한(imminent)
inpenetrable:1. 꿰뚫을 수 없는   2. 이해할 수 없는
imperative:부득이한, 꼭 필요한
impetuous:열렬한, 성급한, 충동적인
implication:포함, 함축
importune:...에게 끈덕지게 조르다
impoverish:1....을 가난하게 하다   2. (질, 산출력을)빈약하게 하다, 저하시키다
impregnable:난공불락의, 견고한
impresario:(가극단, 악단 등의) 단장
impromptu:즉흥의, 준비없는
improvise:1. 즉석에서 짓다   2. 임시변통으로 만들다
impunity:형벌을 받지 않음
inadvertent:부주의한, 소홀한, insouciant
inalienable:양도할 수 없는, 이양할 수 없는
incarnation:1. 육체를 가진 존재가 되기   2. 구체화, 구상, 실현(embodiment)
incendiary:1. 불을 내는, 태우는   2. 선동적인
inclination:경향, 성향
inculcate:...을 되풀이하여 가르치다, 알아듣도록 가르치다
incumbent:1. 현직의, 재직 중의   2. 의무가 있는
incursion:침입, 습격, incursive
indict:...을 기소하다, 고발하다, impeach
induce:권유하다, 유도하여 ...하게 하다, persuade
ineluctable:불가피한, 피할 수 없는; elude-피하다,벗어나다
ineradicable:근접할 수 없는, 없애기 어려운, +eradicable, eradicate
inflammatory:격하게 하는, 선동적인
influx:유입
infraction:위반, 배반, 침범, break, infringe, breach
infrastructure:하부조직, 하부구조, (경제)기반
infringe:...을 위반하다, (권리)를 침해하다, break, infringe, breach
infuse:1.(액체)를 주입하다   2.(사상)을 부러넣다(instill)
ingratiate:...에게 알랑거리다, ...의 비위를 맞추다; gratification-만족, gratify-기쁘게하다, 만족시키다
inimical:1. 해로운, 불리한 2. 적대하는
inimitable:모방할 수 없는, 비길 데 없는
innuendo:풍자, 암시
unquisition:1.(철저한) 조사, 탐구   2.(공적기관의) 심문, 최조
insouciant:무관심, 부주의, inadvertent
insufferable:견딜 수 없는
insuperable:이겨내기 어려운, 극복하기 어려운(invincible)
insurrection:폭동, 반란; resurrection-부활
integral:필수의, 완전한
interim:1.사이, 잠시(meantime)   2. 잠정 협정
interloper:남의 일에 참견하는 사람, 주제넘은 사람(intruder); 무허가 영업자
interlude:중가네 생긴 일(episode), 사이 틈
interminable:영구히 계속되는, 끝없는
intermittent:때때로 끊기는, 단속하는, [열, 흐름 따위가]간헐성의
intersperse:...을 흩뿌리다, 산재시키다; [산재시킨 것으로]...에 변화를 주다
intervene:..의 사이에 있다. (들어가다, 일어나다), 지장을 주다; 중재하다
intimate:...을 넌지시 비추다, 암시하다; 친밀한, 친한
intricate:뒤얽힌, 얽히고 설킨; 복잡한, 난해한
intrigue:음모, 계략; 흥미를 돋구다, 당혹케하다; 간통, 불의
invidious:비위에 거슬리는, 불쾌한; 질투심나게 하는; 몹시 차별적인, 괘씸한, malaise
inviolate:침범되지 않는, 신성한; [약속, 법률 등이]잘 지켜지고 있는, 흩뜨려지지 않는
invoke:[신의 가호]를 빌다; [자비, 원조 등]을 간청하다, [법 등]에 호소하다
iridescent:각도에 따라 색깔이 달라 보이는, 무지개색의, 진주색의
jargon:특수용어, 은어; 뜻을 알 수 없는 말; 사투리
jaunt:소풍, 들놀이
jingoism:강경 외교 정책(론), 주전론, 맹목적 애국주의
jocular:우스꽝스러운, 익살맞은, 웃기는
jubilation:환희, 환호
juction:결합, 접합; 합체, 합동; 접합점, 합류점
junta:[쿠데타 직후 정권을 장악하는]군사정부
karma:업보, 인연; 숙명
larceny:절도죄, 절도[행위]
lascivious:색을 좋아하는, 음탕한; 색정을 돋구는, 음란한, licentious, prurient
lavish:...을 아낌없이 주다(사용하다); ...을 낭비하다
lax:해이된, 조심성 없는, 단정치 못한; 명확하지 않은; 느슨한, 이완된
layman:비전문가, 문외한, 아마추어; [성직자에 대한]신도, 속인
liaison:연락(connecion; association); 간통, 밀통
licentious:부도덕한, [특히]방탕한, 성적으로 음탕한(lewd); 무법의, 파격의
